ProductType,ProductBrand,ProductName,ProductPrice,ProductDescription,ProductImgUrl,Screen,CPU,RAM,HDD,SSD
"Laptops","HP","HP 15-bs070nd - Laptop - 15.6 Inch","379
  -","De HP 15-bs070nd is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series kijken in…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/0/5/6/4/9200000078984650.jpg","15.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","Apple","Apple Macbook Air (2017) - 13 inch - 128 GB","1049
  -","De Apple Macbook Air is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series kijken in…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/8/4/4/4/9200000078934448.jpg","13.3 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","Lenovo","Lenovo IdeaPad 310-15IKB 80TV00WQMH - Laptop - 15.6 Inch","649
  -","De Lenovo IdeaPad 310-15IKB 80TV00WQMH is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. De snelle Intel…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/3/4/6/1/9200000072021643.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Aspire ES 15 ES1-533-C94P - Laptop - 15.6 Inch","389
  -","De Acer Aspire ES1-533-C94P is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD scherm zorgt…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/5/0/6/9200000065116054.jpg","15.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","HP","HP 15-bw072nd - Laptop - 15.6 Inch","479
  -","De HP 15-bw072nd is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD scherm zorgt voor een…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/8/5/6/4/9200000078984658.jpg","15.6 inch","AMD A9","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","HP","HP Thinbook 14-bp070nd - Laptop - 14 Inch","399
  -","De HP 14-bp070nd  is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series kijken in…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/6/6/4/9200000078984664.jpg","14 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","Asus","Asus E200HA-FD0042TS - Laptop - 11.6 Inch","282
  -","De Asus E200HA is een compacte 11,6 laptop die je gemakkelijk kunt inzetten voor jouw dagelijkse bezigheden: internetten,…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/6/7/0/9/9200000075979076.jpg","11.6 inch","Intel Atom","2 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","Lenovo","Lenovo Legion Y520 80WK004SMH - Gaming Laptop - 15.6 Inch","999
  -","De Lenovo Legion Y520 80WK004SMH is geschikt voor het spelen van de meest recente games dankzij de krachtige kenmerken en gaming…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/1/1/8/9/9200000073679811.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","1000 GB HDD","128 GB SSD"
"Laptops","Asus","Asus VivoBook R207NA-FD034T - Laptop - 11.6 Inch","299
  -","De Asus VivoBook R207NA-FD034T is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/3/4/9/9200000078509432.jpg","11.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","Lenovo","Lenovo IdeaPad 110-15ISK 80UD0164MH - Laptop - 15.6 Inch","474
  -","De Lenovo IdeaPad 110-15ISK 80UD0164MH is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. De Intel Core i3…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/8/1/3/9200000074533182.jpg","15.6 inch","Intel Core i3","6 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Chromebook 15 CB3-532-C968 - Chromebook - 15.6 Inch","229
  -","De Acer 15 CB3-532-C968 is geschikt voor jouw studie: verslagen uitwerken, aantekeningen maken in colleges en presentaties…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/6/1/0/1/9200000065251016.jpg","15.6 inch","Intel Celeron","2 GB werkgeheugen","0 GB HDD","16 GB SSD"
"Laptops","HP","HP Pavilion x360 14-ba071nd - 2-in-1 laptop - 14 Inch","849
  -","De HP Pavilion X360 14-ba071nd is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Gebruik deze laptop ook…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/0/8/6/4/9200000078984680.jpg","14 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Chromebook 14 CB3-431-C5K7 - Chromebook - 14 Inch","Product not available","De Acer 14 CB3-431-C5K7 is geschikt voor voor jouw studie: verslagen uitwerken, aantekeningen maken in colleges en presentaties…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/9/1/5/5/9200000057985519.jpg","14 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","Lenovo","Lenovo Yoga 510-14ISK 80S700J8MH - 2-in-1 laptop - 14 Inch","649
  -","De Lenovo Yoga 510-14ISK 80S700J8MH is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het 4 GB…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/6/0/6/9200000074366062.jpg","14 inch","Intel Core i3","4 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Chromebook 11 CB3-131-C8XZ - Chromebook - 11.6 Inch","249
  -","De Acer 11 CB3-131-C8XZ is geschikt voor voor jouw studie: verslagen uitwerken, aantekeningen maken in colleges en presentaties…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/3/5/7/3/9200000078943753.jpg","11.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","16 GB SSD"
"Laptops","Lenovo","Lenovo IdeaPad 520-15IKB 80YL00N7MH - Laptop - 15.6 Inch","699
  -","De Lenovo IdeaPad 520-15IKB 80YL00N7MH is een prachtige aluminium laptop in een unibody chasis, geschikt voor het bewerken van…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/9/7/0/0/9200000079280079.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","HP","HP 17-ak071nd - Laptop - 17.3 inch","579
  -","De HP 17-ak071nd is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD IPS scherm zorgt voor een…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/5/6/4/9200000078984652.jpg","17.3 inch","AMD A9","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Apple","Apple MacBook Pro MD101NA - Laptop - 13 inch","699
  -","MacBook Pro is voorzien van dual-coreprocessors van de derde generatie, geavanceerde grafische voorzieningen, supersnelle I/O en…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/0/0/5/8/9000000012368500.jpg","13.3 inch","Intel Core i5","4 GB werkgeheugen","500 GB HDD","0 GB SSD"
"Laptops","Asus","Asus R417NA-FA116T - Laptop - 14 Inch","329
  -","De Asus R417NA-FA116T is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD scherm zorgt voor een…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/4/1/0/9200000075130144.jpg","14 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","64 GB SSD"
"Laptops","Asus","Asus VivoBook Pro N580VD-E4428T - Laptop","1099
  -","De Asus VivoBook Pro N580VD-E4428T is geschikt voor het bewerken van foto's en video's. Dankzij de SSD en processor start de…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/4/3/6/9200000079016344.jpg","15.6 inch","Intel Core i7","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","HP","HP Power Pavilion 15-cb001nd - Laptop - 15.6 Inch","999
  -","De HP Power Pavilion 15-cb001nd  is geschikt voor het spelen van de meest recente games dankzij de krachtige kenmerken en gaming…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/1/3/7/9200000078807312.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","1000 GB HDD","256 GB SSD"
"Laptops","HP","HP Stream x360 11-aa010nd - 2-in-1 laptop - 11.6 Inch","349
  -","De HP Stream x360 11-aa010nd - Hybride Laptop is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/0/9/7/9200000069927902.jpg","11.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","HP","HP 15-bs070nd - Laptop - 15.6 Inch","379
  -","De HP 15-bs070nd is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series kijken in…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/0/5/6/4/9200000078984650.jpg","15.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","Apple","Apple Macbook Air (2017) - 13 inch - 128 GB","1049
  -","De Apple Macbook Air is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series kijken in…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/8/4/4/4/9200000078934448.jpg","13.3 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","Lenovo","Lenovo IdeaPad 310-15IKB 80TV00WQMH - Laptop - 15.6 Inch","649
  -","De Lenovo IdeaPad 310-15IKB 80TV00WQMH is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. De snelle Intel…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/3/4/6/1/9200000072021643.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Aspire ES 15 ES1-533-C94P - Laptop - 15.6 Inch","389
  -","De Acer Aspire ES1-533-C94P is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD scherm zorgt…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/5/0/6/9200000065116054.jpg","15.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","HP","HP 15-bw072nd - Laptop - 15.6 Inch","479
  -","De HP 15-bw072nd is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD scherm zorgt voor een…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/8/5/6/4/9200000078984658.jpg","15.6 inch","AMD A9","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","HP","HP Thinbook 14-bp070nd - Laptop - 14 Inch","399
  -","De HP 14-bp070nd  is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series kijken in…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/6/6/4/9200000078984664.jpg","14 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","Asus","Asus E200HA-FD0042TS - Laptop - 11.6 Inch","282
  -","De Asus E200HA is een compacte 11,6 laptop die je gemakkelijk kunt inzetten voor jouw dagelijkse bezigheden: internetten,…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/6/7/0/9/9200000075979076.jpg","11.6 inch","Intel Atom","2 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","Lenovo","Lenovo Legion Y520 80WK004SMH - Gaming Laptop - 15.6 Inch","999
  -","De Lenovo Legion Y520 80WK004SMH is geschikt voor het spelen van de meest recente games dankzij de krachtige kenmerken en gaming…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/1/1/8/9/9200000073679811.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","1000 GB HDD","128 GB SSD"
"Laptops","Asus","Asus VivoBook R207NA-FD034T - Laptop - 11.6 Inch","299
  -","De Asus VivoBook R207NA-FD034T is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/3/4/9/9200000078509432.jpg","11.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","Lenovo","Lenovo IdeaPad 110-15ISK 80UD0164MH - Laptop - 15.6 Inch","474
  -","De Lenovo IdeaPad 110-15ISK 80UD0164MH is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. De Intel Core i3…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/8/1/3/9200000074533182.jpg","15.6 inch","Intel Core i3","6 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Chromebook 15 CB3-532-C968 - Chromebook - 15.6 Inch","229
  -","De Acer 15 CB3-532-C968 is geschikt voor jouw studie: verslagen uitwerken, aantekeningen maken in colleges en presentaties…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/6/1/0/1/9200000065251016.jpg","15.6 inch","Intel Celeron","2 GB werkgeheugen","0 GB HDD","16 GB SSD"
"Laptops","HP","HP Pavilion x360 14-ba071nd - 2-in-1 laptop - 14 Inch","849
  -","De HP Pavilion X360 14-ba071nd is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Gebruik deze laptop ook…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/0/8/6/4/9200000078984680.jpg","14 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Chromebook 14 CB3-431-C5K7 - Chromebook - 14 Inch","Product not available","De Acer 14 CB3-431-C5K7 is geschikt voor voor jouw studie: verslagen uitwerken, aantekeningen maken in colleges en presentaties…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/9/1/5/5/9200000057985519.jpg","14 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","Lenovo","Lenovo Yoga 510-14ISK 80S700J8MH - 2-in-1 laptop - 14 Inch","649
  -","De Lenovo Yoga 510-14ISK 80S700J8MH is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het 4 GB…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/6/0/6/9200000074366062.jpg","14 inch","Intel Core i3","4 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Chromebook 11 CB3-131-C8XZ - Chromebook - 11.6 Inch","249
  -","De Acer 11 CB3-131-C8XZ is geschikt voor voor jouw studie: verslagen uitwerken, aantekeningen maken in colleges en presentaties…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/3/5/7/3/9200000078943753.jpg","11.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","16 GB SSD"
"Laptops","Lenovo","Lenovo IdeaPad 520-15IKB 80YL00N7MH - Laptop - 15.6 Inch","699
  -","De Lenovo IdeaPad 520-15IKB 80YL00N7MH is een prachtige aluminium laptop in een unibody chasis, geschikt voor het bewerken van…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/9/7/0/0/9200000079280079.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","HP","HP 17-ak071nd - Laptop - 17.3 inch","579
  -","De HP 17-ak071nd is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD IPS scherm zorgt voor een…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/5/6/4/9200000078984652.jpg","17.3 inch","AMD A9","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Apple","Apple MacBook Pro MD101NA - Laptop - 13 inch","699
  -","MacBook Pro is voorzien van dual-coreprocessors van de derde generatie, geavanceerde grafische voorzieningen, supersnelle I/O en…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/0/0/5/8/9000000012368500.jpg","13.3 inch","Intel Core i5","4 GB werkgeheugen","500 GB HDD","0 GB SSD"
"Laptops","Asus","Asus R417NA-FA116T - Laptop - 14 Inch","329
  -","De Asus R417NA-FA116T is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD scherm zorgt voor een…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/4/1/0/9200000075130144.jpg","14 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","64 GB SSD"
"Laptops","Asus","Asus VivoBook Pro N580VD-E4428T - Laptop","1099
  -","De Asus VivoBook Pro N580VD-E4428T is geschikt voor het bewerken van foto's en video's. Dankzij de SSD en processor start de…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/4/3/6/9200000079016344.jpg","15.6 inch","Intel Core i7","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","HP","HP Power Pavilion 15-cb001nd - Laptop - 15.6 Inch","999
  -","De HP Power Pavilion 15-cb001nd  is geschikt voor het spelen van de meest recente games dankzij de krachtige kenmerken en gaming…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/1/3/7/9200000078807312.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","1000 GB HDD","256 GB SSD"
"Laptops","HP","HP Stream x360 11-aa010nd - 2-in-1 laptop - 11.6 Inch","349
  -","De HP Stream x360 11-aa010nd - Hybride Laptop is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/0/9/7/9200000069927902.jpg","11.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","HP","HP 15-bs070nd - Laptop - 15.6 Inch","379
  -","De HP 15-bs070nd is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series kijken in…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/0/5/6/4/9200000078984650.jpg","15.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","Apple","Apple Macbook Air (2017) - 13 inch - 128 GB","1049
  -","De Apple Macbook Air is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series kijken in…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/8/4/4/4/9200000078934448.jpg","13.3 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","Lenovo","Lenovo IdeaPad 310-15IKB 80TV00WQMH - Laptop - 15.6 Inch","649
  -","De Lenovo IdeaPad 310-15IKB 80TV00WQMH is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. De snelle Intel…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/3/4/6/1/9200000072021643.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Aspire ES 15 ES1-533-C94P - Laptop - 15.6 Inch","389
  -","De Acer Aspire ES1-533-C94P is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD scherm zorgt…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/5/0/6/9200000065116054.jpg","15.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","HP","HP 15-bw072nd - Laptop - 15.6 Inch","479
  -","De HP 15-bw072nd is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD scherm zorgt voor een…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/8/5/6/4/9200000078984658.jpg","15.6 inch","AMD A9","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","HP","HP Thinbook 14-bp070nd - Laptop - 14 Inch","399
  -","De HP 14-bp070nd  is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series kijken in…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/6/6/4/9200000078984664.jpg","14 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","Asus","Asus E200HA-FD0042TS - Laptop - 11.6 Inch","282
  -","De Asus E200HA is een compacte 11,6 laptop die je gemakkelijk kunt inzetten voor jouw dagelijkse bezigheden: internetten,…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/6/7/0/9/9200000075979076.jpg","11.6 inch","Intel Atom","2 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","Lenovo","Lenovo Legion Y520 80WK004SMH - Gaming Laptop - 15.6 Inch","999
  -","De Lenovo Legion Y520 80WK004SMH is geschikt voor het spelen van de meest recente games dankzij de krachtige kenmerken en gaming…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/1/1/8/9/9200000073679811.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","1000 GB HDD","128 GB SSD"
"Laptops","Asus","Asus VivoBook R207NA-FD034T - Laptop - 11.6 Inch","299
  -","De Asus VivoBook R207NA-FD034T is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/3/4/9/9200000078509432.jpg","11.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","Lenovo","Lenovo IdeaPad 110-15ISK 80UD0164MH - Laptop - 15.6 Inch","474
  -","De Lenovo IdeaPad 110-15ISK 80UD0164MH is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. De Intel Core i3…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/8/1/3/9200000074533182.jpg","15.6 inch","Intel Core i3","6 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Chromebook 15 CB3-532-C968 - Chromebook - 15.6 Inch","229
  -","De Acer 15 CB3-532-C968 is geschikt voor jouw studie: verslagen uitwerken, aantekeningen maken in colleges en presentaties…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/6/1/0/1/9200000065251016.jpg","15.6 inch","Intel Celeron","2 GB werkgeheugen","0 GB HDD","16 GB SSD"
"Laptops","HP","HP Pavilion x360 14-ba071nd - 2-in-1 laptop - 14 Inch","849
  -","De HP Pavilion X360 14-ba071nd is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Gebruik deze laptop ook…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/0/8/6/4/9200000078984680.jpg","14 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Chromebook 14 CB3-431-C5K7 - Chromebook - 14 Inch","Product not available","De Acer 14 CB3-431-C5K7 is geschikt voor voor jouw studie: verslagen uitwerken, aantekeningen maken in colleges en presentaties…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/9/1/5/5/9200000057985519.jpg","14 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","Lenovo","Lenovo Yoga 510-14ISK 80S700J8MH - 2-in-1 laptop - 14 Inch","649
  -","De Lenovo Yoga 510-14ISK 80S700J8MH is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het 4 GB…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/6/0/6/9200000074366062.jpg","14 inch","Intel Core i3","4 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Acer","Acer Chromebook 11 CB3-131-C8XZ - Chromebook - 11.6 Inch","249
  -","De Acer 11 CB3-131-C8XZ is geschikt voor voor jouw studie: verslagen uitwerken, aantekeningen maken in colleges en presentaties…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/3/5/7/3/9200000078943753.jpg","11.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","16 GB SSD"
"Laptops","Lenovo","Lenovo IdeaPad 520-15IKB 80YL00N7MH - Laptop - 15.6 Inch","699
  -","De Lenovo IdeaPad 520-15IKB 80YL00N7MH is een prachtige aluminium laptop in een unibody chasis, geschikt voor het bewerken van…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/9/7/0/0/9200000079280079.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","HP","HP 17-ak071nd - Laptop - 17.3 inch","579
  -","De HP 17-ak071nd is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD IPS scherm zorgt voor een…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/5/6/4/9200000078984652.jpg","17.3 inch","AMD A9","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","Apple","Apple MacBook Pro MD101NA - Laptop - 13 inch","699
  -","MacBook Pro is voorzien van dual-coreprocessors van de derde generatie, geavanceerde grafische voorzieningen, supersnelle I/O en…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/0/0/5/8/9000000012368500.jpg","13.3 inch","Intel Core i5","4 GB werkgeheugen","500 GB HDD","0 GB SSD"
"Laptops","Asus","Asus R417NA-FA116T - Laptop - 14 Inch","329
  -","De Asus R417NA-FA116T is geschikt voor het bekijken van films en series in hoge beeldkwaliteit. Het Full HD scherm zorgt voor een…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/4/1/0/9200000075130144.jpg","14 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","64 GB SSD"
"Laptops","Asus","Asus VivoBook Pro N580VD-E4428T - Laptop","1099
  -","De Asus VivoBook Pro N580VD-E4428T is geschikt voor het bewerken van foto's en video's. Dankzij de SSD en processor start de…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/4/4/3/6/9200000079016344.jpg","15.6 inch","Intel Core i7","8 GB werkgeheugen","0 GB HDD","256 GB SSD"
"Laptops","HP","HP Power Pavilion 15-cb001nd - Laptop - 15.6 Inch","999
  -","De HP Power Pavilion 15-cb001nd  is geschikt voor het spelen van de meest recente games dankzij de krachtige kenmerken en gaming…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/1/3/7/9200000078807312.jpg","15.6 inch","Intel Core i5","8 GB werkgeheugen","1000 GB HDD","256 GB SSD"
"Laptops","HP","HP Stream x360 11-aa010nd - 2-in-1 laptop - 11.6 Inch","349
  -","De HP Stream x360 11-aa010nd - Hybride Laptop is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/2/0/9/7/9200000069927902.jpg","11.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","32 GB SSD"
"Laptops","HP","HP 15-bs070nd - Laptop - 15.6 Inch","379
  -","De HP 15-bs070nd is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series kijken in…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/0/5/6/4/9200000078984650.jpg","15.6 inch","Intel Celeron","4 GB werkgeheugen","0 GB HDD","128 GB SSD"
"Laptops","Apple","Apple Macbook Air (2017) - 13 inch - 128 GB","1049
  -","De Apple Macbook Air is geschikt voor het dagelijkse gebruik: internetten, e-mailen, tekstverwerking en films en series kijken in…
              ","//s.s-bol.com/imgbase0/imagebase3/regular/FC/8/4/4/4/9200000078934448.jpg","13.3 inch","Intel Core i5","8 GB werkgeheugen","0 GB HDD","128 GB SSD"
